"chart_position","chart_date","song","artist","instance","time_on_chart","consecutive_weeks","previous_week","peak_position","worst_position","year","month","week","spotify_song_id","spotify_artist_id","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","main_genres"
38,"1959-06-27","The Happy Organ","Dave ""Baby"" Cortez",1,16,15,25,1,68,1959,6,26,"6fOxrKUo3f9OX2z6YrBpwy","7fGPj0sGEcZACQTUVbz3NY","hammond organ, jazz organ",0.635,0.888,1,-6.811,1,0.0313,0.536,0.144,0.0743,0.97,91.22,"jazz_blues"
29,"1959-07-11","Kansas City","Wilbert Harrison",1,14,13,17,1,100,1959,7,28,"4GvyP7CnBJEV2t7L7vOkjw","7rETVFaF9VOFPmmzsY3kO6","rhythm and blues",0.727,0.665,1,-6.453,1,0.0352,0.653,0.233,0.349,0.912,114.979,"jazz_blues"
4,"1959-08-01","The Battle Of New Orleans","Johnny Horton",1,15,14,2,1,93,1959,8,31,"66eFGhs8LXeBgrXk0YgRJK","1bBZcz4jP7CoPlqpCFh4gz","classic country pop, cowboy western",0.704,0.743,9,-12.069,1,0.129,0.805,0,0.205,0.92,177.362,"pop, country"
42,"1959-09-19","A Big Hunk O' Love","Elvis Presley With The Jordanaires",1,12,11,20,1,43,1959,9,38,"6PUsG2iMvCjnPFLjydO1RR","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly",0.551,0.934,7,-6.66,0,0.0481,0.822,0.143,0.419,0.96,87.055,"rock"
4,"1959-10-10","Sleep Walk","Santo & Johnny",1,12,11,3,1,95,1959,10,41,"0yK8sWD6cfrc7pGfaPIcZH","4hGjngc0tPOBwTgTPci3IK","space age pop, surf music",0.779,0.212,10,-9.759,0,0.0362,0.759,0.959,0.235,0.444,94.675,"pop, rock"
1,"1959-11-28","Mack The Knife","Bobby Darin",1,15,14,1,1,59,1959,11,48,"3E5ndyOfO6vFDEIE42HA8o","0EodhzA6yW1bIdD5B4tcmJ","adult standards, easy listening, lounge, rock-and-roll, rockabilly, vocal jazz",0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755,"classic_folk, pop, rock, jazz_blues"
6,"1960-02-20","Running Bear","Johnny Preston",2,19,13,2,1,86,1960,2,8,"1mE8QtaSFxEQnr3SgxmIRf","1B8n8vtEeexQ5NKehHTkeo","doo-wop, rock-and-roll, rockabilly",0.76,0.468,5,-8.957,0,0.0482,0.775,2.36e-05,0.184,0.745,119.986,"r&b_reggae, rock"
4,"1960-04-23","The Theme From ""A Summer Place""","Percy Faith And His Orchestra",1,16,15,1,1,96,1960,4,17,"6zwvB879PJSpTyFcg2wwnL","24DQLSng7bKZD4GXLIaQbv","easy listening, man's orchestra",0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,"classic_folk, indie_alt"
2,"1960-06-04","Stuck On You","Elvis Presley With The Jordanaires",1,10,9,2,1,84,1960,6,23,"7bA1DHtoJAvqyL42gHwOLa","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly",0.649,0.678,7,-7.389,1,0.0463,0.775,0.000634,0.129,0.96,131.719,"rock"
31,"1960-07-23","Cathy's Clown","The Everly Brothers",1,15,14,16,1,94,1960,7,30,"27bw4i8LnECzVlbMZ4kFHw","4ACplpEqD6JIVgKrafauzs","adult standards, folk rock, mellow gold, rock-and-roll, rockabilly, sunshine pop",0.507,0.561,7,-10.472,1,0.0353,0.548,0,0.59,0.89,120.042,"classic_folk, rock, indie_alt, pop"
20,"1960-08-13","Everybody's Somebody's Fool","Connie Francis",1,15,14,12,1,52,1960,8,33,"1qC8zQRrdkZCwzQ5N4ECoD","3EY5DxGdy7x4GelivOjS2Q","adult standards, brill building pop, easy listening, rock-and-roll, rockabilly",0.584,0.737,1,-4.643,1,0.0306,0.745,1.93e-05,0.208,0.753,84.322,"classic_folk, pop, rock"
20,"1960-09-10","I'm Sorry","Brenda Lee",1,16,15,5,1,76,1960,9,37,"4LJcNiq2pBb8OeqrGdBJQw","4cPHsZM98sKzmV26wlwD2W","adult standards, lounge, rockabilly",0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,"classic_folk, pop, rock"
32,"1960-11-05","It's Now Or Never","Elvis Presley With The Jordanaires",1,17,16,27,1,44,1960,11,45,"1XunTmhOcj3xwh4b8P3isX","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly",0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,"rock"
60,"1960-12-03","My Heart Has A Mind Of Its Own","Connie Francis",1,17,16,45,1,60,1960,12,49,"7qinPLZ41lgIGuT40EAFs0","3EY5DxGdy7x4GelivOjS2Q","adult standards, brill building pop, easy listening, rock-and-roll, rockabilly",0.495,0.539,6,-6.088,1,0.0336,0.819,0,0.325,0.715,109.49,"classic_folk, pop, rock"
29,"1960-12-10","Save The Last Dance For Me","The Drifters",1,15,14,18,1,78,1960,12,50,"391TUcoPonqYykPkSZ5Z9U","1FqqOl9itIUpXr4jZPIVoT","adult standards, doo-wop, rock-and-roll, rockabilly, soul",0.54,0.53,4,-10.583,1,0.0361,0.614,0,0.198,0.896,143.453,"classic_folk, r&b_reggae, rock, soul_funk"
35,"1961-01-07","Stay","Maurice Williams & The Zodiacs",1,15,14,35,1,86,1961,1,1,"77qnn6cD0T5hQi05qcn7X7","43BgumF6B7s0W2mhVkmVO4",NA,0.736,0.737,10,-8.732,1,0.0378,0.291,0,0.111,0.925,114.094,"r&b_reggae"
11,"1961-02-04","Are You Lonesome To-night?","Elvis Presley With The Jordanaires",1,13,12,10,1,35,1961,2,5,"4xUqqie4bBKufHtlMuZS3k","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll, rockabilly",0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,"rock"
45,"1961-03-04","Wonderland By Night","Bert Kaempfert And His Orchestra",1,17,16,36,1,50,1961,3,9,"5Ik1BD4gKzxofvNgSRQbCF","2s6JabvZdqVQhfOsaxCSFX","ballroom, easy listening",0.211,0.233,4,-10.208,1,0.0291,0.907,0.919,0.279,0.239,71.351,"electronic_dance, classic_folk"
18,"1961-03-11","Will You Love Me Tomorrow","The Shirelles",1,17,16,16,1,87,1961,3,10,"25IiJu0DjOqsnQXgNHWp5i","0x83OBqixqdCHnStP5VMcn","classic girl group, classic soul, doo-wop, motown, rock-and-roll, soul",0.527,0.308,0,-11.809,1,0.0284,0.551,4.25e-05,0.0921,0.514,136.297,"classic_folk, soul_funk, r&b_reggae, rock"
42,"1961-04-01","Calcutta","Lawrence Welk And His Orchestra",1,17,16,23,1,95,1961,4,13,"1iXx0IlX5j33jyumZjBWU4","0YnkuO9Q6juindJF9Vdj3r",NA,0.482,0.681,0,-9.114,1,0.0263,0.588,0.683,0.405,0.963,81.997,"pop"
11,"1961-04-08","Pony Time","Chubby Checker",1,12,11,4,1,49,1961,4,14,"45gAw2xmDx9DZAnoiJK723","7qQJQ3YtcGlqaLg5tcypN2","rock-and-roll, rockabilly",0.509,0.702,3,-5.695,1,0.0514,0.526,0,0.124,0.947,154.571,"rock"
7,"1961-05-13","Blue Moon","The Marcels",1,11,10,5,1,87,1961,5,19,"0pnfT3OLqlnIvO0uMYgCfM","1JQYskbOoudT9cylam24a3","doo-wop, rock-and-roll",0.617,0.444,7,-10.133,1,0.0371,0.698,0,0.0999,0.913,127.699,"r&b_reggae, rock"
29,"1961-06-10","Runaway","Del Shannon",1,15,14,15,1,77,1961,6,23,"45Szkclj1lt4ubm7RFK68t","3c8WoNjBfyLJhFObE6RHgs","doo-wop, rock-and-roll, rockabilly",0.594,0.533,10,-7.993,0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,"r&b_reggae, rock"
14,"1961-07-01","Running Scared","Roy Orbison",1,13,12,14,1,71,1961,7,26,"6sbj89WozjblBMa5u41orw","0JDkhL4rjiPNEp92jAgJnS","adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",0.572,0.392,9,-10.555,1,0.0325,0.778,0.000435,0.15,0.381,128.255,"classic_folk, rock, indie_alt, other"
1,"1961-08-05","Tossin' And Turnin'","Bobby Lewis",1,16,15,1,1,91,1961,8,31,"79s3pSe1u6ggQBEwVPm58Z","6KfBWaX13etjtEZ4d9aTWW","rhythm and blues",0.569,0.722,0,-8.914,1,0.0393,0.225,0,0.108,0.965,142.736,"jazz_blues"
37,"1961-09-30","Wooden Heart","Joe Dowell",1,15,14,23,1,98,1961,9,39,"2ELAMT68a78OGwhCgj9Kai","1b5taabb9eKSbyzVFVtEjh",NA,0.844,0.462,1,-9.855,1,0.0525,0.713,0.0234,0.106,0.947,84.913,"pop"
44,"1961-10-14","Michael","The Highwaymen",1,15,14,11,1,100,1961,10,41,"25TcXSVruQ3Oox1RyqRCFf","6e7QpHYqEiyJGiM98IysLa","country, country rock, outlaw country",0.525,0.121,0,-19.451,1,0.029,0.859,5.98e-06,0.191,0.631,107.408,"country, rock"
47,"1961-11-04","Take Good Care Of My Baby","Bobby Vee",1,14,13,28,1,87,1961,11,44,"06JokgprGDKrtZ1eP6z2CQ","5MX2l6ewjOaeWn1lYNhzlO","adult standards, brill building pop, doo-wop, rock-and-roll, rockabilly",0.487,0.441,1,-11.297,1,0.0722,0.761,0,0.15,0.604,82.707,"classic_folk, pop, r&b_reggae, rock"
55,"1961-11-11","The Twist","Chubby Checker",2,19,NA,NA,1,56,1961,11,45,"4YCnTYbq3oL1Lqpyxg33CU","7qQJQ3YtcGlqaLg5tcypN2","rock-and-roll, rockabilly",0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,"rock"
42,"1962-04-14","Duke Of Earl","Gene Chandler",1,14,13,20,1,93,1962,4,15,"6Hy22YDN9HJMRlJP1LwnJy","52uMkSFt2RVO6XxTEt5VeW","chicago soul, classic soul, northern soul, southern soul",0.422,0.28,5,-11.277,1,0.0365,0.824,0,0.297,0.496,100.839,"soul_funk"
40,"1962-04-28","Hey! Baby","Bruce Channel",1,14,13,18,1,74,1962,4,17,"0obIo2GEab6qqms6t3JaMY","5Do19ow5oRPYYU46jqdkwh","rock-and-roll",0.515,0.623,9,-5.597,1,0.036,0.359,0,0.274,0.643,64.253,"rock"
4,"1962-05-12","Johnny Angel","Shelley Fabares",1,11,10,3,1,81,1962,5,19,"6XEW0P64pYXfD06e4oLcWz","6ZID5oFfvvgzIRrqXaTJSy","brill building pop, doo-wop",0.369,0.385,0,-9.132,1,0.0282,0.872,0,0.279,0.735,108.025,"pop, r&b_reggae"
2,"1962-06-16","Stranger On The Shore","Mr. Acker Bilk",1,14,13,2,1,80,1962,6,24,"1UUqBCegaEWTuaYdwc7QQx","5bdgb81IJMXag724quaNSA","easy listening, jazz clarinet",0.265,0.379,10,-11.017,1,0.0312,0.293,0.808,0.207,0.322,72.89,"classic_folk, jazz_blues"
19,"1962-08-11","I Can't Stop Loving You","Ray Charles",1,15,14,7,1,86,1962,8,32,"79nJj5dMyTsUzKvN5jUXsJ","1eYhYunlNJlDoQhtYBvPsi","classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz",0.31,0.279,5,-13.552,1,0.0308,0.815,0,0.318,0.377,79.397,"soul_funk, jazz_blues"
17,"1962-09-08","Roses Are Red (My Love)","Bobby Vinton",1,14,13,8,1,68,1962,9,36,"5zw4SajQ2IKvjnSWXOSDrh","6bOYtKnpLPQSfMpS2ilotK","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",0.499,0.145,5,-14.145,1,0.0319,0.756,0,0.35,0.48,101.949,"classic_folk, pop, r&b_reggae, rock"
34,"1962-09-22","Breaking Up Is Hard To Do","Neil Sedaka",1,13,12,11,1,66,1962,9,38,"2x6pbpjVGjiWCcH89IK8AX","5N6GwJzOcOY5kv8p0NjhYL","adult standards, brill building pop, bubblegum pop, easy listening, rockabilly, soft rock",0.743,0.799,8,-5.466,0,0.0375,0.699,0,0.0635,0.965,116.112,"classic_folk, pop, rock"
27,"1962-10-06","The Loco-Motion","Little Eva",1,15,14,14,1,86,1962,10,40,"1hClDWPgajpLIFjLOkFuau","4S76LQXJD6N2uPcLhKejG8","brill building pop, doo-wop, rock-and-roll",0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,"pop, r&b_reggae, rock"
38,"1962-10-20","Sheila","Tommy Roe",1,13,12,16,1,73,1962,10,42,"5Mzu8smN6fRBCaUaTytD1W","7t4XHvWfj0XtEB8SNFeALw","bubblegum pop, classic garage rock, merseybeat, rock-and-roll",0.422,0.575,4,-8.993,1,0.107,0.275,0,0.062,0.475,135.63,"pop, rock, r&b_reggae"
11,"1962-11-03","Sherry","The 4 Seasons",1,11,10,5,1,65,1962,11,44,"7sqK6f8dHVx3Q1GjFrVyGl","6mcrZQmgzFGRWf7C0SObou","adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",0.701,0.471,0,-8.072,1,0.0421,0.647,0,0.125,0.69,117.564,"classic_folk, pop, r&b_reggae, soul_funk, rock"
9,"1962-12-01","He's A Rebel","The Crystals",1,13,12,8,1,98,1962,12,48,"0mG8Hety4RELeo6p808fcy","7rewR1TVjhisjI6gauUamf","classic girl group, doo-wop, rock-and-roll",0.712,0.757,6,-6.449,1,0.0572,0.63,1.63e-06,0.529,0.866,117.367,"classic_folk, r&b_reggae, rock"
11,"1963-01-12","Big Girls Don't Cry","The 4 Seasons",1,13,12,5,1,66,1963,1,2,"00meczE1jpLTX0BBzIGrAR","6mcrZQmgzFGRWf7C0SObou","adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",0.764,0.84,2,-5.023,1,0.0672,0.393,8.64e-06,0.0686,0.843,130.276,"classic_folk, pop, r&b_reggae, soul_funk, rock"
36,"1963-02-09","Telstar","The Tornadoes",1,15,14,17,1,85,1963,2,6,"5e7Iydav7OtvZft8sB2pW7","3L6UEvPrH9ENXU94fYxNlT","surf music",0.327,0.91,9,-3.834,1,0.0463,0.00237,0.838,0.344,0.786,145.291,"rock"
20,"1963-02-23","Go Away Little Girl","Steve Lawrence",1,16,15,14,1,100,1963,2,8,"0xx4lbu88MyZRjq8f45B0e","271pvVqDFiREx6PqzwOX8p","adult standards, easy listening",0.408,0.294,0,-14.149,1,0.0317,0.491,0,0.225,0.571,108.639,"classic_folk"
4,"1963-03-09","Hey Paula","Paul and Paula",1,11,10,3,1,96,1963,3,10,"3kl9waNDdEv2BqDJBu9fuw","2pycVt1qR9u8bKdb4oLI98","doo-wop, merseybeat, rock-and-roll",0.432,0.283,7,-11.691,1,0.031,0.84,0.155,0.199,0.31,110.33,"r&b_reggae, rock"
40,"1963-04-13","Walk Like A Man","The 4 Seasons",1,12,11,23,1,40,1963,4,15,"4C76SOnBa9eQDwOwe11hPz","6mcrZQmgzFGRWf7C0SObou","adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",0.681,0.64,3,-10.364,1,0.0346,0.605,0,0.0641,0.966,117.884,"classic_folk, pop, r&b_reggae, soul_funk, rock"
22,"1963-04-27","Our Day Will Come","Ruby And The Romantics",1,12,11,13,1,79,1963,4,17,"3ngYXFSYtF5mHguNCA3JZ0","7y0ngZzIllkP8ZOqgTKQFc","rhythm and blues",0.538,0.625,8,-7.722,1,0.045,0.708,0.000126,0.128,0.718,92.422,"jazz_blues"
8,"1963-05-11","He's So Fine","The Chiffons",1,12,11,5,1,87,1963,5,19,"2Bs1Lw9LX8hBm70t1iGdlh","05sIdEkXAYDbDDdv3T56Oj","brill building pop, classic girl group, doo-wop, rock-and-roll",0.558,0.633,7,-3.265,1,0.0329,0.487,0,0.129,0.871,72.494,"pop, classic_folk, r&b_reggae, rock"
17,"1963-06-08","I Will Follow Him","Little Peggy March",1,12,11,8,1,90,1963,6,23,"7dFKoNC2k5qgbXrbcMCHQ0","09vvlnqwFaimZwGAvpXgqy",NA,0.633,0.562,0,-7.178,1,0.0347,0.521,0,0.0956,0.799,125.108,"pop"
33,"1963-06-29","If You Wanna Be Happy","Jimmy Soul",1,14,13,13,1,84,1963,6,26,"7D97JnBT73FWUh9KmRvP9M","7k4MYPtpz3fAViMuuLi9ry",NA,0.673,0.866,10,-8.34,1,0.0391,0.695,0.000231,0.328,0.839,93.224,"pop"
5,"1963-07-06","It's My Party","Lesley Gore",1,9,8,2,1,60,1963,7,27,"1Pq47iFLC5U7j8xeNiNcuS","08b2PA6eFyugsWAk41eQKZ","brill building pop, bubblegum pop, classic girl group",0.692,0.501,9,-11.708,1,0.0625,0.368,0,0.0393,0.961,128.388,"pop, classic_folk"
37,"1963-08-10","Sukiyaki","Kyu Sakamoto",1,14,13,18,1,79,1963,8,32,"6meIeOX3DHdaCnaNw67abE","3WKkjW8B7x5UZmfC9pnDmN","enka",0.415,0.359,7,-11.094,1,0.0334,0.707,6.53e-05,0.319,0.404,146.029,"world_regional"
8,"1963-08-17","So Much In Love","The Tymes",1,12,11,5,1,86,1963,8,33,"6h0LLmMVZY108wNzD5UM6O","0a1BmEq1mZ5ufKMC2fsziR","beach music, doo-wop, philly soul, rhythm and blues",0.546,0.494,4,-10.39,1,0.034,0.787,0.000111,0.453,0.44,75.655,"pop, rock, r&b_reggae, soul_funk, jazz_blues"
23,"1963-09-14","Fingertips - Pt 2","Little Stevie Wonder",1,13,12,11,1,85,1963,9,37,"2lBO10Y6uDv25SZRBG6juX","7guDJrEfX3qb6FEbdPA5qi","motown, soul",0.323,0.89,0,-7.179,1,0.29,0.57,0.247,0.332,0.349,137.08,"soul_funk, r&b_reggae"
6,"1963-10-05","My Boyfriend's Back","The Angels",1,10,9,5,1,75,1963,10,40,"5NiFSI8iIDtVm1NCwdYrHS","6YtJeguOS8yoMkmLLnzU7q","brill building pop, classic girl group",0.683,0.885,3,-6.099,1,0.155,0.629,0,0.075,0.954,135.134,"pop, classic_folk"
26,"1963-11-09","Blue Velvet","Bobby Vinton",1,14,13,15,1,78,1963,11,45,"4QelFzhVgLomeQhvKrwM1S","6bOYtKnpLPQSfMpS2ilotK","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",0.376,0.246,10,-9.803,1,0.0286,0.862,0,0.155,0.282,80.167,"classic_folk, pop, r&b_reggae, rock"
3,"1963-11-23","Deep Purple","Nino Tempo & April Stevens",1,11,10,1,1,94,1963,11,47,"5kJez8nvgq0HqhWy3UTQFx","5s1WKkWyMzhGnLZ0ClgyTN",NA,0.507,0.32,5,-12.472,1,0.0305,0.881,2.59e-05,0.153,0.575,130.565,"pop"
47,"1963-12-28","Sugar Shack","Jimmy Gilmer And The Fireballs",1,15,14,28,1,65,1963,12,52,"0GFnsrK9ywSAh4xFUeabhp","2FIdQw5j2RpoSKSg3siOmy",NA,0.794,0.805,7,-7.59,1,0.0916,0.562,1.1e-05,0.157,0.863,131.766,"rock"
21,"1964-01-04","I'm Leaving It Up To You","Dale & Grace",1,14,13,16,1,89,1964,1,1,"2SMz7VLaghh4LZK5FN6l3a","4pm3g02BZ11lBvSCuomYaW","brill building pop, swamp pop",0.371,0.485,11,-8.689,1,0.0332,0.41,2.96e-06,0.17,0.792,106.685,"pop"
6,"1964-01-18","Dominique","The Singing Nun (Soeur Sourire)",1,11,10,4,1,64,1964,1,3,"4ns69146GVKS3AwM922kTE","6IXxyuP3QA8yla9rF1on6b","belgian singer-songwriter",0.75,0.333,0,-8.135,0,0.0979,0.955,0,0.106,0.651,135.913,"world_regional"
10,"1964-02-08","There! I've Said It Again","Bobby Vinton",1,11,10,7,1,50,1964,2,6,"3mwiyHBHfAzOe89MwqJeEb","6bOYtKnpLPQSfMpS2ilotK","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",0.26,0.355,2,-7.955,1,0.03,0.776,0,0.136,0.338,78.464,"classic_folk, pop, r&b_reggae, rock"
1,"1964-02-29","I Want To Hold Your Hand","The Beatles",1,7,6,1,1,45,1964,2,9,"5Qe7NHxeLAn8KoLTNLSdwe","3WrFJ7ztbogyGnTHbHJFl2","british invasion, classic rock, merseybeat, psychedelic rock, rock",0.496,0.703,7,-6.905,1,0.0376,0.525,2.08e-06,0.305,0.936,130.915,"rock, world_regional, r&b_reggae"
36,"1964-05-02","She Loves You","The Beatles",1,15,14,19,1,69,1964,5,18,"0qsS2A3hwicJCLtcaR6JRQ","3WrFJ7ztbogyGnTHbHJFl2","british invasion, classic rock, merseybeat, psychedelic rock, rock",0.308,0.895,7,-5.157,1,0.0463,0.389,0,0.177,0.902,150.109,"rock, world_regional, r&b_reggae"
1,"1964-05-09","Hello, Dolly!","Louis Armstrong And The All Stars",1,13,12,2,1,76,1964,5,19,"63kd4m3VFxcJjPVVtbVNAu","19eLuQmk9aCobbVDHc6eek","adult standards, dixieland, harlem renaissance, jazz trumpet, lounge, new orleans jazz, soul, swing, vocal jazz",0,0.405,0,-9.935,1,0,0.842,0.00114,0.198,0,0,"classic_folk, jazz_blues, pop, world_regional, soul_funk"
27,"1964-07-18","Chapel Of Love","The Dixie Cups",1,12,11,14,1,72,1964,7,29,"7vVG9xbmNQrtdSPTi7KDUm","7ICvZfP4VHAPZ5Wdt03772","classic girl group, doo-wop, rock-and-roll",0.602,0.348,9,-10.061,1,0.0288,0.7,0,0.52,0.75,124.606,"classic_folk, r&b_reggae, rock"
8,"1964-08-01","I Get Around","The Beach Boys",1,11,10,3,1,76,1964,8,31,"3v9xlH6BpmRbqL7hgNJhfT","3oDbviiivRWhXwIE8hxkVV","baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",0.39,0.625,9,-7.813,0,0.0537,0.36,0,0.0663,0.514,144.338,"pop, rock, classic_folk, indie_alt"
33,"1964-09-05","Rag Doll","The 4 Seasons Featuring the ""Sound of Frankie Valli""",1,12,11,17,1,53,1964,9,36,"1hQFF33xi8ruavZNyovtUN","6mcrZQmgzFGRWf7C0SObou","adult standards, bubblegum pop, doo-wop, lounge, northern soul, rock-and-roll, rockabilly",0.737,0.495,1,-13.489,1,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,"classic_folk, pop, r&b_reggae, soul_funk, rock"
4,"1964-09-12","Everybody Loves Somebody","Dean Martin",1,12,11,3,1,72,1964,9,37,"5I9sHwLDX28tLtzVgKLtpr","49e4v89VmlDcFCMyDv9wQ9","adult standards, easy listening, lounge, vocal jazz",0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,"classic_folk, pop, jazz_blues"
38,"1964-10-10","Where Did Our Love Go","The Supremes",1,14,13,19,1,77,1964,10,41,"69RH84na5iUNwrwxpgjC5j","57bUPid8xztkieZfS7OlEV","classic girl group, classic soul, disco, motown, soul",0.566,0.49,0,-10.867,1,0.0414,0.791,1.42e-05,0.0919,0.847,134.934,"classic_folk, soul_funk, pop, electronic_dance, r&b_reggae"
38,"1964-10-17","House Of The Rising Sun","The Animals",1,11,10,19,1,60,1964,10,42,"7BY005dacJkbO6EPiOh2wb","3ICflSq6ZgYAIrm2CTkfVP","album rock, british invasion, classic rock, hard rock, protopunk, psychedelic rock, rock",0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,"rock, world_regional"
5,"1964-10-24","Oh, Pretty Woman","Roy Orbison And The Candy Men",1,9,8,3,1,51,1964,10,43,"48i055G1OT5KxGGftwFxWy","0JDkhL4rjiPNEp92jAgJnS","adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,"classic_folk, rock, indie_alt, other"
8,"1964-12-12","Baby Love","The Supremes",1,11,10,5,1,51,1964,12,50,"5uES1C2NgkdrNHiCwf9jRr","57bUPid8xztkieZfS7OlEV","classic girl group, classic soul, disco, motown, soul",0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,"classic_folk, soul_funk, pop, electronic_dance, r&b_reggae"
